1	1770	113
2	5502	203
3	1988	9
4	5392	558
5	1614	565
6	3085	43
7	726	483
8	3003	489
9	4729	977
10	826	157
11	2731	641
12	4162	179
13	3437	825
14	5655	890
15	3194	505
16	1227	147
17	2004	875
18	5374	975
19	5305	667
20	4228	125
21	963	242
22	2296	879
23	2327	969
24	4062	311
25	5689	838
26	4768	912
27	1134	842
28	3742	562
29	3133	728
30	4336	419
31	1090	997
32	1162	669
33	3164	304
34	4919	131
35	3880	461
36	3983	95
37	2345	900
38	1268	142
39	2499	775
40	5320	549
41	1707	625
42	5723	634
43	4603	189
44	1040	405
45	2293	321
46	3431	142
47	5893	248
48	970	54
49	1516	633
50	2894	4
51	1611	505
52	4466	482
53	1853	674
54	3885	183
55	4590	433
56	1874	685
57	5235	138
58	1910	450
59	956	454
60	5639	277
61	1970	392
62	5097	280
63	5706	478
64	1306	64
65	5195	54
66	5935	707
67	2609	869
68	2695	687
69	5542	467
70	2903	64
71	3811	882
72	4256	869
73	1225	831
74	2214	843
75	799	602
76	727	701
77	4413	138
78	4745	781
79	4274	432
80	3545	740
81	3662	538
82	2472	681
83	3054	515
84	2420	988
85	4734	543
86	3538	582
87	901	869
88	4355	359
89	4517	962
90	1655	115
91	1718	273
92	936	247
93	956	288
94	731	224
95	1257	596
96	761	483
97	5626	677
98	3372	50
99	3599	991
100	2948	585
101	3380	299
102	1129	477
103	1049	424
104	4209	832
105	3070	406
106	1020	714
107	2029	423
108	3602	287
109	3313	88
110	4048	157
111	3397	102
112	5373	166
113	3512	54
114	4158	362
115	2633	641
116	4999	730
117	3544	597
118	3924	894
119	1712	569
120	1657	626
121	4013	175
122	4811	701
123	3537	299
124	1928	507
125	1381	218
126	3649	460
127	2602	268
128	1098	405
129	2910	916
130	5712	13
131	4784	301
132	3175	808
133	3847	331
134	1635	655
135	5015	655
136	1208	925
137	5507	7
138	3517	335
139	2425	182
140	4038	233
141	5053	146
142	1937	148
143	1144	352
144	2664	270
145	3462	205
146	3223	276
147	3999	168
148	5229	326
149	4448	969
150	1263	205
151	1344	578
152	4369	475
153	1343	632
154	3627	353
155	4600	741
156	1117	236
157	2214	714
158	1714	625
159	1054	320
160	4532	242
161	5788	908
162	1406	611
163	1643	821
164	2302	740
165	1505	207
166	4026	357
167	1098	426
168	1286	245
169	3102	760
170	837	453
171	4938	19
172	3526	781
173	1364	241
174	5944	910
175	5875	230
176	2068	388
177	2001	865
178	1995	215
179	3052	83
180	2270	301
181	2444	814
182	1762	530
183	1297	722
184	1549	861
185	3893	948
186	1609	308
187	2256	271
188	3043	942
189	2682	353
190	3270	938
191	5104	394
192	4742	923
193	5725	241
194	1289	211
195	1657	897
196	4942	372
197	3153	726
198	1353	987
199	5034	4
200	4240	404
201	1126	129
202	2325	30
203	1007	951
204	1197	975
205	2937	303
206	5153	92
207	3864	359
208	3189	936
209	967	279
210	3780	873
211	3936	950
212	4303	707
213	1477	801
214	5177	569
215	1482	456
216	1357	371
217	4328	82
218	5241	703
219	1158	734
220	5280	998
221	1474	137
222	4879	879
223	997	710
224	4802	104
225	2053	188
226	5661	540
227	2940	796
228	4901	131
229	3080	601
230	5377	258
231	1260	526
232	5084	967
233	1646	471
234	2855	516
235	3360	768
236	5200	317
237	2894	584
238	4551	475
239	1552	802
240	4145	438
241	839	741
242	2359	961
243	3453	585
244	5721	890
245	2230	727
246	2041	487
247	5209	607
248	5427	621
249	2338	823
250	4407	586
251	2303	259
252	3890	488
253	2492	620
254	1365	840
255	1062	319
256	5841	648
257	5737	445
258	1926	365
259	1824	868
260	3069	595
261	3470	518
262	1901	776
263	3426	364
264	3170	808
265	4365	106
266	1574	339
267	1241	65
268	1415	768
269	1435	826
270	3995	901
271	3132	109
272	5051	971
273	4706	606
274	3538	407
275	2688	527
276	2865	443
277	2688	106
278	1035	786
279	868	827
280	5858	975
281	1511	319
282	1482	963
283	1514	632
284	3589	887
285	2342	464
286	1898	387
287	2000	547
288	1416	415
289	4389	257
290	805	909
291	5087	61
292	2990	165
293	4396	723
294	5807	997
295	704	350
296	4599	313
297	5215	647
298	4660	141
299	5791	859
300	5027	125
301	1021	650
302	1209	912
303	2294	22
304	1742	829
305	5842	649
306	1173	776
307	4971	65
308	1480	94
309	5395	984
310	2105	431
311	4238	549
312	5392	961
313	4557	914
314	3534	599
315	4937	995
316	3105	838
317	3032	896
318	5195	179
319	5808	521
320	5278	676
321	3488	136
322	840	353
323	2079	961
324	3386	788
325	3347	655
326	2051	978
327	3844	386
328	3121	513
329	4747	136
330	1674	388
331	3280	599
332	853	976
333	1733	252
334	2477	911
335	1847	969
336	1384	366
337	1332	590
338	5494	533
339	3465	534
340	4409	768
341	2854	748
342	1224	146
343	4618	477
344	1995	55
345	3023	336
346	2898	828
347	2484	477
348	1700	928
349	1263	51
350	1532	9
351	4013	597
352	3725	531
353	3481	890
354	5248	4
355	3249	925
356	5949	231
357	3011	417
358	5899	740
359	3346	884
360	1953	719
361	737	281
362	3202	881
363	3635	302
364	851	643
365	2823	977
366	2958	472
367	2694	692
368	1453	811
369	1635	568
370	3988	850
371	3976	241
372	3738	514
373	2531	185
374	2776	921
375	3325	450
376	2970	223
377	5015	439
378	709	345
379	1356	691
380	5878	224
381	5263	216
382	3896	505
383	3341	520
384	5226	746
385	2153	171
386	3682	932
387	2093	387
388	1233	767
389	4451	959
390	3535	370
391	5521	109
392	1482	952
393	3606	204
394	4181	939
395	4352	798
396	4338	487
397	3831	398
398	5940	403
399	4079	69
400	783	827
401	2450	647
402	4123	325
403	5399	497
404	5787	428
405	2489	236
406	4073	166
407	1522	608
408	2363	753
409	1057	652
410	5765	296
411	5270	917
412	996	477
413	3265	77
414	2504	866
415	2809	698
416	1382	639
417	5695	709
418	907	264
419	3149	823
420	1042	52
421	1989	230
422	3882	454
423	1556	521
424	2454	984
425	1141	236
426	2477	986
427	1300	721
428	5808	415
429	3830	170
430	5155	811
431	1528	95
432	856	640
433	1265	998
434	1881	447
435	3712	51
436	2240	245
437	3812	905
438	974	633
439	2373	603
440	2368	964
441	4650	358
442	4847	163
443	2619	144
444	3485	222
445	4648	625
446	4264	293
447	5905	255
448	5444	150
449	1759	961
450	2540	164
451	2279	885
452	2898	33
453	5710	91
454	2810	209
455	4245	331
456	1222	989
457	5230	878
458	1043	800
459	2350	868
460	2171	964
461	3201	1
462	4417	944
463	2704	998
464	2091	333
465	747	903
466	2995	356
467	2050	151
468	4224	861
469	5694	751
470	1848	272
471	4647	317
472	3631	415
473	3489	684
474	3020	105
475	1705	97
476	5140	333
477	4318	384
478	4366	298
479	1671	472
480	4168	948
481	5089	66
482	1759	767
483	5457	744
484	4588	704
485	1826	204
486	5240	562
487	4149	7
488	1858	156
489	3073	288
490	2911	695
491	3668	159
492	1459	913
493	1042	101
494	4264	872
495	3133	368
496	4290	472
497	1206	270
498	3049	680
499	1318	787
500	3437	784
501	5736	735
502	5426	986
503	1969	277
504	4311	677
505	1575	537
506	5200	897
507	986	961
508	2752	671
509	5587	288
510	4419	797
511	1074	863
512	1996	845
513	3490	386
514	3168	382
515	3683	540
516	905	662
517	4785	635
518	4642	827
519	2110	158
520	4269	789
521	2923	997
522	4441	923
523	3449	782
524	2910	136
525	5375	774
526	4713	830
527	1149	720
528	4475	88
529	3293	48
530	3133	854
531	4996	300
532	1301	627
533	3337	188
534	1364	420
535	1846	562
536	2840	765
537	3952	914
538	2699	75
539	1530	323
540	2427	746
541	5832	331
542	3346	790
543	4843	210
